,3M_Rate,10Y_2Y_Curve,5y5y_Forward,Core_PCE,NFP,UnEmp,Hstarts,IP,ISM,Mich_Sent,Mich_Inf,CPI
1978-01-01,6.44,0.4704761904761906,8.146190476190476,,,,,,,,,
1978-02-01,6.45,0.4683333333333333,8.234444444444444,0.003834921384111789,354.0,6.3,1738.0,0.004950555413298252,55.9,84.3,6.4,0.004754358161648042
1978-03-01,6.29,0.460909090909091,8.21409090909091,0.005407152722677555,512.0,6.3,2032.0,0.01906160136864954,55.0,78.8,6.3,0.006309148264984188
1978-04-01,6.29,0.41050000000000003,8.325500000000002,0.006488761581854963,702.0,6.1,2197.0,0.020717245320760025,57.7,81.6,6.7,0.00783699059561127
1978-05-01,6.41,0.33952380952380945,8.515714285714285,0.005866124582546872,347.0,6.0,2075.0,0.0037094064949607652,60.2,82.9,6.9,0.0062208398133749565
1978-06-01,6.73,0.22272727272727275,8.569545454545455,0.005600946964229081,441.0,5.9,2070.0,0.00688972565062107,60.5,80.0,6.5,0.007727975270479082
1978-07-01,7.01,0.1505,8.743500000000001,0.0058568516551344985,254.0,6.2,2092.0,-0.0004636104287337739,62.2,82.4,6.6,0.006134969325153339
1978-08-01,7.08,0.04434782608695649,8.487826086956522,0.005394605394605456,279.0,5.9,1996.0,0.0037548692050686228,60.3,78.4,8.7,0.007621951219512146
1978-09-01,7.85,-0.14900000000000002,8.405500000000002,0.005734726322961681,138.0,6.0,1970.0,0.00252519926449013,60.5,80.4,6.9,0.00907715582450841
1978-10-01,7.99,-0.21142857142857144,8.67,0.007339242364365006,335.0,5.8,1981.0,0.008021267643346208,60.1,79.3,7.4,0.007496251874062887
1978-11-01,8.64,-0.6194999999999999,8.774999999999999,0.005380261166844091,435.0,5.9,2094.0,0.007576073798889693,61.3,75.0,7.5,0.005952380952380931
1978-12-01,9.08,-0.709,8.929,0.003902112715312933,280.0,6.0,2044.0,0.005346042817302443,59.4,66.1,7.3,0.00591715976331364
1979-01-01,9.35,-0.7604545454545456,8.996363636363633,0.005136320728524657,137.0,5.9,1630.0,-0.006430211693132959,58.5,72.1,7.8,0.007352941176470562
1979-02-01,9.32,-0.6183333333333334,9.062777777777777,0.003259398392398305,247.0,5.9,1520.0,0.0053727662959772715,58.2,73.9,9.3,0.010218978102189746
1979-03-01,9.48,-0.6722727272727272,9.032272727272725,0.0057542468544369285,424.0,5.8,1847.0,0.0031314280999732436,57.7,68.4,8.8,0.00867052023121384
1979-04-01,9.46,-0.5965,9.114499999999998,0.009225294278675022,-62.0,5.8,1748.0,-0.011280943150402067,56.2,66.0,9.7,0.007163323782235054
1979-05-01,9.61,-0.5314285714285715,9.267619047619048,0.008679849187620325,372.0,5.6,1876.0,0.008033077600777316,54.4,68.1,9.8,0.007112375533428139
